Company,WBA ID,Website,Corporate name,Headquarters,Region,Income group,Ownership,ISIN,Ticker,Stock market,Wiki Data ID,LEI,"""Home"" Transformation",Food & Agriculture,Decarbonisation and Energy,Nature,Digital,Financial,Urban,Social,WBA Industry,ISIC 4,ISIC Description,Revenue US$ m 2021,Revenue US$ m 2022,Revenue US$ m 2023,Employees 2021,Employees 2022,Employees 2023,Women employees (%) 2023,Women on the board (%) 2024,Water 2023 (ML),Waste 2023 (t),Scope 1+S2 LB million tCO2e 2021,Scope 1+2 LB milion tCO2e 2022,Scope 1+2 milion tCO2e LB 2023,Scope 3 million tCO2e 2021,Scope 3 All relevant categories 2021,Scope 3 million tCO2e 2022,Scope 3 All relevant categories 2022,Scope 3 million tCO2e 2023,Scope 3 All relevant categories 2023,SBTi 2023,SBTi 2024,Energy (MWh) 2021,Electricity (MWh) 2021,Renewable electricity (%) 2021,Energy (MWh) 2022,Electricity (MWh) 2022,Renewable electricity (%) 2022, Energy (MWh) 2023, Electricity (MWh) 2023,Renewable electricity (%) 2023,Fiscal year 2023 ending, Countries of operation reported by company, Calculated countries of operations, Significant countries of operation,Significance metric,Keystone Footprint metric,Latest value,Financial report 2023,ESG Report 2023,Financial link 2023,ESG link 2023
Occidental Petroleum,PT_01323,https://www.oxy.com,Occidental Petroleum Corporation,United States,North America,High income,Public, US6745991058,,, Q2013357, IM7X0T3ECJW4C1T7ON55, Climate, , Yes,  -   , , , , Yes, Oil & Gas,610, Extraction of crude petroleum,"  25,956 ","  37,095 ","  28,257 ","  11,678 ","  11,973 ","  12,570 ",  23.0 ,  30.0 ,"  471,837.00 ","  369,000.00 ",  23.29 ,  22.50 ,  21.91 ,  212.00 ,  -   ,  -   , No,  233.50 , Yes,  -   , …,"  69,488,320.31 ","  13,162,023.00 ",  0.25 ,"  62,896,085.00 ","  11,269,346.00 ",  -   ,"  94,001,024.00 ","  10,972,341.00 ",  -   ,31-Dec-23,, ,  -   ,  -   , , ,Annual Report,2024 CDP Corporate Questionnaire 2024,https://occidentalpetroleum.gcs-web.com/static-files/4de7f1e3-e144-4a91-95ac-97b30bdf1edd,https://www.oxy.com/siteassets/documents/sustainability/oxy_cdp_submission_2024.pdf
Bristol Myers Squibb,PT_00279,https://www.bms.com,Bristol-Myers Squibb Co,United States,North America,High income,Public, US1101221083,,, Q266423, HLYYNH7UQUORYSJQCN42, Nature, , , Yes, , , , Yes, Pharmaceuticals & Biotechnology,2100," Manufacture of pharmaceuticals, medicinal chemical and botanical products","  46,385.00 ","  46,159.00 ","  45,006.00 ","  32,200.00 ","  34,520.00 ","  34,100.00 ", ...,  40.0 ,"  2,766.00 ","  11,479.00 ",  0.37 ,  -   ,  0.37 ,  1.89 ,  -   ,  1.70 , No,  1.75 , Yes, COMMITTED, Targets Set,"  1,527,779.00 ",  -   ,  -   ,"  1,449,166.68 ",  -   ,  -   ,"  1,479,167.85 ",  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , Number of patients treated ,"  2,100,000 ",FORM 10-K,2023 ESG report,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000014272/f3f54310-82c7-4a89-9135-e26704422697.pdf,https://www.esg.bms.com/assets/bms-esg/us/documents/BMS-ESG-Report-2023.pdf
COSCO Shipping,PT_00358,https://lines.coscoshipping.com,"COSCO SHIPPING Holdings Co., Ltd ",China,East Asia & Pacific,Upper middle income,Public, CNE100000601,1919, HKEX, Q5099614, 3003009XI0QGYYA29S17, Climate, , Yes, Yes, , , , Yes, Freight & logistics,5012, Sea and coastal freight water transport,"  51,735.44 ","  58,020.55 ","  24,780.76 ","  41,482.00 ","  31,510.00 ","  31,654.00 ",  36.0 ,  12.5 ,"  3,824.17 ","  11,359.80 ",  0.64 ,  20.78 ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  1,578,888.00 ",  -   ,  -   ,"  79,202,612.00 ","  25,300.00 ",  -   ,"  75,610,234.59 ","  651,670.10 ",  -   ,31-Dec-23,, ,  -   ,  -   , Number of vessels in total shipping fleet ,  502 ,2023 Annual Report,ESG Report,http://en.hold.coscoshipping.com/cms_files/filemanager/1664/attach/20244/CB246454F8887A04025F15EC1851EF8C.pdf,http://en.hold.coscoshipping.com/cms_files/filemanager/1664/attach/20244/4F9AD508F96328962E750B7826455AB7.pdf
Wm Morrison Supermarkets,PT_01946,https://www.morrisons-corporate.com,Wm Morrison Supermarkets Limited,United Kingdom,Europe & Central Asia,High income,Private,,,, Q922344, 213800IN6LSRGTZSOS29, FAB, Yes, , Yes, , , , Yes, Food Retailers,4711," Retail sale in non-specialized stores with food, beverages or tobacco predominating","  18,469.86 ","  22,813.58 ","  22,947.50 ","  120,109.00 ","  99,646.00 ","  104,813.00 ",  55.6 ,  33.3 ,  4.93 ,"  11,133.00 ",  -   ,  -   ,  0.42 ,  -   ,  -   ,  -   , No,  0.00 , No, Targets Set, Targets Set,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  1,849,374.07 ","  1,108,158.59 ",  -   ,29-Oct-23,, ,  -   ,  -   , , ,Annual Report and Financial Statements,Annual Report and Financial Statements,https://www.morrisons-corporate.com/globalassets/corporatesite/investor-centre/financialreports/documents/2022-23/wmsl-updated-30.01.2024-4.pdf,https://www.morrisons-corporate.com/globalassets/corporatesite/investor-centre/financialreports/documents/2022-23/wmsl-updated-30.01.2024-4.pdf
OEC,PT_02415,https://www.oec-eng.com,OEC S.A.,Brazil,Latin America & Caribbean,Upper middle income,Private,,,,,, Urban, , ,  -   , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings,  517 ,  908 ,  814 , ...,"  8,711 ","  7,824 ", ...,  -   ,  449.00 ,"  92,115.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  0.07 , No,  0.06 , No,  -   , …,  -   ,  -   ,  -   ,"  174,629.31 ","  10,394.73 ",  100.00 ,"  181,932.09 ","  5,601.95 ",  100.00 ,31-Dec-23,, , ,  -   , , ,"Consolidated financial statements As of December 31, 2023",Annual Report 2023-24,https://api.mziq.com/mzfilemanager/v2/d/0cae4bc8-e6f8-46df-9888-4ae991c799fe/613c8b11-1da4-3265-45fa-87acf5941257?origin=1,https://www.oec-eng.com/api/sites/default/files/ar-2023-24-eng.pdf
OeEB,PT_02029,https://www.oe-eb.at,OeEB,Austria,Europe & Central Asia,High income,Private,,,, Q2015258, 529900E6JZYYJ2O1OA64, FSB, , , , , Yes, , Yes, Development Finance Institutions,8421, Foreign affairs, ..., ...,  111 ,  67 ,  73 ,  78 , ...,  66.7 ,  -   ,  -   ,  0.00 ,  0.00 ,  -   ,  0.00 ,  -   ,  0.00 , No,  -   , NA,  -   , …,"  2,742.37 ","  2,195.78 ",  -   ,"  2,680.47 ","  2,298.61 ",  1.36 ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,Annual Report 2023, ,https://www.oe-eb.at/dam/jcr:84c36ac2-3fd7-4c18-a3fc-2ffee0d645e8/OeEB-Annual-Report-2023.pdf, 
Shiseido Company,PT_01593,https://corp.shiseido.com,"Shiseido Company, Limited",Japan,East Asia & Pacific,High income,Public, JP3351600006,,, Q728185, 5299008QCD0YDT5OF506, Nature, , , Yes, , , , Yes, Personal & Household Products,2023," Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","  9,432 ","  8,117 ","  6,926 ","  42,000 ","  38,878 ","  35,675 ",  82.2 ,  45.5 ,  800.00 ,"  10,895.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  1.51 , Yes,  0.97 , Yes, Targets Set, Targets Set,  -   ,  -   ,  -   ,"  304,962.00 ","  141,841.00 ",  75.00 ,"  239,863.00 ","  127,305.00 ",  -   ,31-Dec-23,, , ,  -   , Number of manufacturing facilities ,  11 ,"Consolidated Settlement of Accounts for the Fiscal Year Ended December 31, 2023",Environmental Data,https://corp.shiseido.com/en/ir/pdf/ir20240209_037.pdf,https://corp.shiseido.com/en/sustainability/performance/env/
Ohio Deferred Compensation,PT_01328,https://www.ohio457.org/home,Ohio Deferred Compensation ,United States,North America,High income,Government,,,,,, FSB, , , , , Yes, , Yes, Pension Funds,6530, Pension funding, ..., ...,"  3,781 ", ..., ...,  , ...,  15.4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,Annual Comprehensive financial report 2023, ,https://cdn.ohio457.org/contentpdf/2023AnnualReport.pdf, 
NYK Line,PT_02271,https://www.nyk.com,Nippon Yusen KK,Japan,East Asia & Pacific,High income,Public, JP3753000003,,, Q1478918, 353800YPW4XM0ZN5I149, Climate, , Yes, Yes, , , , Yes, Freight & logistics,5012, Sea and coastal freight water transport,"  20,782 ","  19,894 ","  16,992 ","  35,165 ","  35,502 ","  35,243 ",  36.8 ,  25.0 ,  339.19 ,"  10,142.00 ",  13.73 ,  11.33 ,  11.48 ,  4.07 ,  -   ,  3.26 , No,  3.46 , Yes, Targets Set, Targets Set,  -   ,"  119,880.04 ",  -   ,  -   ,"  162,030.00 ",  3.68 ,"  44,417,581.83 ","  154,903.00 ",  15.88 ,31-Mar-24,, ,  -   ,  -   , Number of vessels in total shipping fleet ,  811 ,Notice of the 137th Ordinary General Meeting of Shareholders,Integrated Report,https://www.nyk.com/english/ir/library/business/2023/__icsFiles/afieldfile/2024/05/20/engsummary.pdf,https://www.nyk.com/english/esg/nyk/__icsFiles/afieldfile/2024/10/31/2024_nykreport_all.pdf
Ralph Lauren,PT_01461,https://www.ralphlauren.com,Ralph Lauren Corporation,United States,North America,High income,Public, US7512121010,,, Q1641437, HO1QNWM0IXBZ0QSMMO20, Nature, , , Yes, , , , Yes, Apparel & Footwear,4771," Retail sale of clothing, footwear and leather articles in specialized stores","  6,219 ","  6,444 ","  6,631 ","  20,036 ","  23,277 ","  23,400 ",  64.1 ,  38.5 ,"  10,932.00 ","  10,048.00 ",  0.08 ,  0.07 ,  0.07 ,  1.19 ,  -   ,  1.24 , Yes,  1.21 , Yes, Targets Set, Targets Set,"  239,304.64 ","  174,268.19 ",  6.47 ,"  236,392.00 ","  164,459.00 ",  8.16 ,"  235,589.63 ","  158,814.29 ",  64.22 ,31-Mar-24,  47 ,  47 ,  -   , Stores, Number of stores ,  553 ,Form 10-K,Sustainability Report,https://investor.ralphlauren.com/static-files/fae2bcc7-7627-4e5f-84c7-101eb4eda8d9,https://corporate.ralphlauren.com/on/demandware.static/-/Sites-RalphLauren_Corporate-Library/default/dw95dc0796/documents/2024_reports_and_policies/RL-2024-GCSReport.pdf
Old Dominion Freight Line,PT_02264,https://ir.odfl.com,"Old Dominion Freight Line, Inc.",United States,North America,High income,Public, US6795801009,,, Q7083862, 5299009TWK32WE417T96, Climate, , Yes, , , , , Yes, Freight & logistics,4923, Freight transport by road,"  5,256 ","  6,260 ","  5,866 ","  23,663 ","  23,471 ","  22,902 ", ...,  25.0 ,  -   ,  -   ,  1.36 ,  -   ,  -   ,  0.33 ,  -   ,  0.33 , No,  0.55 , Yes,  -   , …,"  5,181,689.70 ",  -   ,  -   ,"  5,386,800.42 ",  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,FORM 10-K, ,https://ir.odfl.com/sec-filings/all-sec-filings/content/0000950170-24-020176/0000950170-24-020176.pdf, 
Old Mutual,PT_01335,https://www.oldmutual.com,Old Mutual Limited,South Africa,Sub-Saharan Africa,Upper middle income,Public, ZAE000255360,,, Q289704, 213800MON84ZWWPQCN47, FSB, , , , , Yes, , Yes, Insurance,6500," Insurance, reinsurance and pension funding, except compulsory social security", ..., ...,"  11,917 ","  28,711 ","  31,866 ","  27,265 ", ...,  33.3 ,"  1,134.78 ",  -   ,  0.07 ,  -   ,  0.08 ,  0.14 ,  -   ,  0.14 , No,  1.53 , Yes,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  201,902.48 ",  8.21 ,31-Dec-23,, , ,  -   , , ,INTEGRATED REPORT 2023,GHG Verification Report,https://www.oldmutual.com/v3/assets/blt566c98aeecc1c18b/bltbcee9b2e06df32b2/6603320a0a576b040a3124ae/Integrated_report_2023.pdf,https://www.oldmutual.com/v3/assets/blt566c98aeecc1c18b/blt847f6d2ed5dbe87c/6707d9442150c0fa0c0b3872/2023_Carbon_Verification_Statement.pdf
Lyft,PT_01107,https://www.lyft.com,Lyft Inc,United States,North America,High income,Public, US55087P1049,,, Q17077936, 549300H7I5VN334XVZ52, DIB, , , , Yes, , Yes, Yes, Passenger Transport,4921, Urban and suburban passenger land transport,"  3,208 ","  4,095 ","  4,404 ","  4,453 ","  4,419 ","  2,945 ",  40.0 ,  30.0 ,  -   ,  -   ,  0.01 ,  -   ,  -   ,  2.98 , Yes,  -   , No,  -   , NA, Removed, Targets Set,  -   ,"  20,674.00 ",  100.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , Entity-defined measure of user activity ,"  40,000,000 ",Annual Report 2023, ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001759509/7b6703fb-85fd-4994-aa1d-c14910162666.pdf, 
Marathon Petroleum,PT_01121,https://www.marathonpetroleum.com,Marathon Petroleum Corporation,United States,North America,High income,Public, US56585A1025,,, Q458363, 3BNYRYQHD39K4LCKQF12, Climate, , Yes,  -   , , , , Yes, Oil & Gas,1920, Manufacture of refined petroleum products,"  119,983 ","  179,952 ","  150,307 ","  17,670 ","  17,887 ","  18,191 ",  18.0 ,  30.8 ,"  143,945.00 ","  260,000.00 ",  39.90 ,  40.40 ,  39.80 ,  379.00 ,  -   ,  -   , No,  400.00 , No,  -   , …,"  166,666,800.00 ",  -   ,  -   ,"  166,666,800.00 ",  -   ,  -   ,"  166,666,800.00 ",  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,FORM 10-K,2023 SUSTAINABILITY REPORT,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001510295/ab345c39-c423-4cf3-adc3-ceb4b6553949.pdf,https://www.marathonpetroleum.com/content/documents/Responsibility/Sustainability_Report/2023_SustainabilityReport.pdf
Ontario Municipal Employees,PT_02060,https://www.omers.com,Ontario Municipal Employees Retirement System,Canada,North America,High income,Government,,,, Q3347600, HK15VDWNE3FL77FUSC13, FSB, , , , , Yes, , Yes, Pension Funds,6530, Pension funding, ..., ...,  4 , ..., ...,  , ...,  21.4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, , ,  -   , , ,2023 ANNUAL REPORT, ,https://assets.ctfassets.net/iifcbkds7nke/61nAzhRFwfyAlyRNLZY63p/88b260a1d339173cfdf6bff58da62d85/OMERS-2023-Annual-Report_FINAL-ua.pdf, 
Ontario Teachers' Pension Plan Board,PT_01340,https://www.otpp.com,Ontario Teachers' Pension Plan Board,Canada,North America,High income,Government,,,, Q3455043, H8N91ZZ5ZBHE2NQ34P83, FSB, , , , , Yes, , Yes, Pension Funds,6530, Pension funding, ..., ...,"  6,572 ", ..., ...,  , ...,  54.5 ,  -   ,  -   ,  0.00 ,  -   ,  0.00 ,  0.00 ,  -   ,  0.00 , No,  5.89 , Yes,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, , ,  -   , , ,2023 Annual Report, ,https://www.otpp.com/content/dam/otpp/documents/reports/2023-ar/otpp-2023-annual-report-eng.pdf, 
MediaTek,PT_01145,https://www.mediatek.com,MediaTek Inc,"Taiwan, China",East Asia & Pacific,High income,Public, TW0002454006,2454, TWSE, Q699848, 254900UEGBK1I4DM4E14, DIB, , ,  -   , Yes, , , Yes, Electronics,2610, Manufacture of electronic components and boards,"  17,609 ","  18,410 ","  13,910 ","  18,031 ","  21,956 ","  19,104 ",  18.4 ,  11.1 ,  507.00 ,  131.67 ,  0.07 ,  -   ,  -   ,  -   , No,  -   , No,  -   , NA,  -   , …,  -   ,"  123,491.00 ",  -   ,"  167,738.47 ","  165,507.63 ",  -   ,"  181,079.03 ","  178,771.53 ",  -   ,31-Dec-23,, ,  -   ,  -   , , ,Annual Report,2023 ESG Report,https://cdn-www.mediatek.com/posts/2023-English-Annual-Report_Final.pdf,https://d86o2zu8ugzlg.cloudfront.net/mediatek-craft/reports/CSR/2023-MediaTek-Sustainability-Report_Final.pdf
OP Financial Group,PT_01342,https://www.op.fi,OP Financial Group,Finland,Europe & Central Asia,High income,Private,,,, Q4045597, 7437003B5WFBOIEFY714, FSB, , , , , Yes, , Yes, Banks,6419, Other monetary intermediation, ..., ...,"  10,511 ","  12,302 ","  12,999 ","  13,806 ",  65.0 , Not found,  -   ,  555.55 ,  0.02 ,  0.01 ,  0.01 ,  11.54 ,  -   ,  -   , No,  5.50 , Yes,  -   , …,"  132,380.00 ","  60,302.00 ",  36.00 ,"  126,593.00 ","  47,678.00 ",  54.00 ,"  127,595.00 ","  47,411.00 ",  99.80 ,31-Dec-23,  4 ,  4 ,  4 , Employees, Number of accounts,"  2,075,000 ",OP Financial Groups Report by the Board of Directors 2023, ,https://vuosi.op.fi/siteassets/pdf/2023/op-financial-groups-report-by-the-board-of-directors-and-financial-statements-2023.pdf, 
OPERS,PT_01329,https://www.opers.org,Ohio Public Employees Retirement System,United States,North America,High income,Government,,,,, QPC8XYAEE1MD4H0QLN27, FSB, , , , , Yes, , Yes, Pension Funds,6530, Pension funding, ..., ...,"  16,505 ","  102,947 ","  107,076 ",  , ...,  18.2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , , ,"Annual Comprehensive Financial Report for the year ended December 31, 2023", ,https://www.opers.org/pubs-archive/financial/2023-OPERS-Annual-Report.pdf, 
MegaFon,PT_01147,https://moscow.megafon.ru,JSC MegaFon,Russian Federation,Europe & Central Asia,Upper middle income,Private, RU000A0JS942,,, Q1720713, 213800HE6VDVJWT85874, DIB, , , , Yes, , , Yes, Telecommunications,6120, Wireless telecommunications activities,"  4,809 ", ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, ,  -   ,  -   , Number of wireless subscribers,"  76,400,000 ",, ,, 
Meituan,PT_01151,https://about.meituan.com,Meituan,China,East Asia & Pacific,Upper middle income,Public, KYG596691041,03690, HKEX, Q15907772, 21380033K525E5JLIA77, DIB, , , , Yes, , , Yes, Food Retailers,5629, Other food service activities,"  27,772 ","  32,634 ","  39,088 ","  100,525 ","  91,932 ","  114,860 ",  37.1 ,  14.3 ,"  2,139.91 ","  8,800.39 ",  -   ,  -   ,  -   ,  -   , No,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,"  351,063.49 ",  -   ,  -   ,"  486,261.28 ",  -   ,  -   ,31-Dec-23,  3 , ,  -   ,  -   , , ,2023 Annual Report,2023 Annual Report,https://media-meituan.todayir.com/202404290808012611185051_en.pdf,https://media-meituan.todayir.com/202404290808012611185051_en.pdf
O'Reilly Automotive,PT_02862,https://www.oreillyauto.com/,"O’Reilly Automotive, Inc.",United States,North America,High income,Public, US67103H1077 ,ORLY, NASDAQ, Q7071951, 549300K2RLMQL149Q332, Social,,,  -   ,,,, Yes, Retail,4773, Other retail sale of new goods in specialized stores, ..., ...,"  15,812 ", ..., ...,"  90,189 ", ..., ...,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  2.83 , Yes,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, , ,  -   , , ,FORM 10-K, ,"https://corporate.oreillyauto.com/cmsstatic/O'Reilly%20Automotive,%20Inc.%202023%2010-K.pdf", 
Amgen,PT_00097,https://www.amgen.com,Amgen Inc.,United States,North America,High income,Public, US0311621009,AMGN, NASDAQ, Q470517, 62QBXGPJ34PQ72Z12S66, Nature,,, Yes,,,, Yes, Pharmaceuticals & Biotechnology,2100," Manufacture of pharmaceuticals, medicinal chemical and botanical products", ..., ...,"  28,190.00 ", ..., ...,"  26,700.00 ",  53.0 , ...,"  2,089.00 ","  10,019.00 ", ,  -   ,  0.27 , , ,  -   ,  -   ,  1.38 , Yes,  -   , Targets Set, , ,,  -   ,  -   ,  -   ,"  833,611.78 ",  -   ,  90.00 ,31-Dec-23,  54 ,  54 ,  -   ,  -   , , ,Form 10-K,Environmental Sustainability Data,https://investors.amgen.com/static-files/ce30b292-b8bc-48b3-90dc-3102a9653822,https://www.amgen.com/responsibility/healthy-planet/environmental-sustainability/-/media/Themes/CorporateAffairs/amgen-com/amgen-com/downloads/responsibility-report/2023_summary_of_data.pdf
MOL Group,PT_01193,https://molgroup.info,MOL Magyar Olajes Gazipari Nyrt,Hungary,Europe & Central Asia,High income,Public, HU0000153937,,, Q549181, 213800R83KX5FQFGXS67, Climate, , Yes,  -   , , , , Yes, Oil & Gas,1920, Manufacture of refined petroleum products,"  19,659 ","  26,485 ","  25,393 ","  24,291 ","  24,277 ","  24,912 ",  26.3 ,  -   ,"  99,912.32 ","  175,744.00 ",  7.34 ,  7.23 ,  7.25 ,  56.70 ,  -   ,  58.81 , Yes,  55.77 , Yes,  -   , …,"  28,005,577.96 ",  -   ,  -   ,"  27,344,466.32 ",  -   ,  -   ,"  27,926,937.62 ","  2,316,623.24 ",  -   ,31-Dec-23,  30 ,  3 ,  3 ,  -   , , ,INTEGRATED ANNUAL REPORT,Sustainability - Climate Change,https://molgroup.info/storage/documents/publications/annual_reports/2023/integrated-annual-report-2023-eng.pdf,https://molgroup.info/en/show/publications/annual_reports/2023/sd-data-library-2019-2023.xlsx
Vinamilk,PT_01885,https://www.vinamilk.com.vn,Vietnam Dairy Products Joint Stock Company,Vietnam,East Asia & Pacific,Lower middle income,Public, VN000000VNM8,,, Q1519175, 549300148GRJ07D21X63, FAB, Yes, , Yes, , , , Yes, Food Production,1050, Manufacture of dairy products,"  2,630 ","  2,582 ","  2,542 ","  9,732 ","  9,506 ","  8,010 ",  23.3 ,  30.0 ,"  7,903.12 ","  9,842.86 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  622,049.88 ","  205,731.85 ",  -   ,"  600,923.38 ","  202,769.57 ",  100.00 ,"  635,635.98 ","  243,520.11 ",  20.00 ,31-Dec-23,, ,  -   ,  -   , Number of processing and manufacturing facilities ,  16 ,ANNUAL REPORT,SUSTAINABLE DEVELOPMENT REPORT 2023,https://www.vinamilk.com.vn/bao-cao-thuong-nien/bao-cao/2023/_astro/VINAMILK-ANNUAL-REPORT-2023.CA8i9BsJ.pdf,https://www.vinamilk.com.vn/static/uploads/download_file/1732544746-f56c037e8eb14cbe77bc510b72921ca3bcdc9bccfbbf42f8316ceba94ddd46d7.pdf
Kyokuyo,PT_01043,https://www.kyokuyo.co.jp,"Kyokuyo Co., Ltd.",Japan,East Asia & Pacific,High income,Public, JP3257200000,,, Q11541501, 353800PIEETYXIDK6K51, FAB, Yes, , Yes, , , , Yes, Food Production,1020," Processing and preserving of fish, crustaceans and molluscs","  2,310 ","  2,070 ","  1,862 ","  2,208 ","  2,112 ","  2,089 ", ...,  16.7 ,  547.92 ,"  9,550.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  0.01 , No,  -   , …,"  101,183.03 ","  30,809.00 ",  -   ,"  102,376.19 ","  31,437.00 ",  -   ,"  127,114.27 ","  38,365.00 ",  -   ,31-Mar-24,  7 , ,  -   ,  -   , , ,Summary of Consolidated Financial Results,Sustainability Databook,https://www.kyokuyo.co.jp/en/files/20240510.pdf,https://www.kyokuyo.co.jp/en/files/sustainabilitydata2024e.pdf
PACCAR,PT_01360,https://www.paccar.com,Paccar Inc.,United States,North America,High income,Public, US6937181088,,, Q1477661, KDTEY8BWE486IKZ3CC07, Climate, , Yes, , , , , Yes, Motor Vehicles & Parts,2910, Manufacture of motor vehicles,"  23,522 ","  28,820 ","  33,316 ","  28,000 ","  31,100 ","  32,400 ", ...,  25.0 ,  -   ,  -   ,  0.28 ,  -   ,  -   ,  76.82 ,  -   ,  -   , No,  -   , NA, Targets Set, Targets Set,"  978,124.00 ","  407,615.00 ",  13.88 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, , ,  -   , , ,FORM 10-K, ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000075362/ce0914b9-5f27-4c9f-85b5-8cd0f33fabf9.pdf, 
Ganfeng Lithium,PT_02243,https://www.ganfenglithium.com,Ganfeng Lithium Group Co.,China,East Asia & Pacific,Upper middle income,Public, CNE100000SF6,01772, HKEX, Q10954805, 3003006BE6UOHWEOOR42, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  1,712.09 ","  6,138.08 ","  4,634.47 ","  7,870.00 ","  10,201.00 ","  13,151.00 ",  32.4 ,  44.4 ,"  7,129.83 ","  9,420.86 ",  -   ,  0.86 ,  1.04 ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  3,033,172.51 ","  973,434.59 ",  39.17 ,31-Dec-23,  6 ,  3 ,  1 , Employees, , ,2023 Annual report,2023 Sustainability Report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042503485.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042503497.pdf
Pacific Mutual,PT_01364,https://www.pacificmutual.com,Pacific Mutual Holding Company,United States,North America,High income,Private,,,,, VFN8KLUEIK7XMVX1JM30, FSB, , , , , Yes, , Yes, Insurance,6500," Insurance, reinsurance and pension funding, except compulsory social security", ..., ...,"  14,802 ", ..., ...,  , ...,  33.3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,31-Dec-23,, , ,  -   , , ,"Consolidated Financial Statements as of and for the years ended December 31, 2023 and 2022 and Independent Auditor's Report", ,https://www.pacificmutual.com/content/dam/pacmutual/public/PMHC_GAAPFinancials_2023.pdf, 
Taiwan Cement,PT_01719,https://www.taiwancement.com,TAIWAN CEMENT LTD.,"Taiwan, China",East Asia & Pacific,High income,Public, TW0001101004,1101, TWSE, Q10915565, 529900C56C3PB9X9ZO58, Climate, , Yes, Yes, , , , Yes, Construction Materials & Supplies,2394," Manufacture of cement, lime and plaster","  3,820 ","  3,822 ","  3,508 ","  35,927 ","  12,188 ","  7,702 ",  22.2 ,  26.7 ,"  12,962.11 ","  9,397.22 ",  31.98 ,  -   ,  21.71 ,  -   ,  -   ,  0.02 , No,  7.42 , Yes, Targets Set, Targets Set,"  5,369,335.96 ","  1,172,577.88 ",  -   ,"  5,301,296.46 ","  444,248.64 ",  -   ,"  26,725,210.83 ","  2,568,714.28 ",  0.66 ,31-Dec-23,, ,  -   ,  -   , Production by major product line,"  40,076,000 ",Annual Report 2023,SUSTAINABILITY REPORT,https://media.taiwancement.com/web_tcc/en/report/annual/2023%20Annual.pdf,https://media.taiwancement.com/web_tcc/en/report/csr/report_2023_all.pdf
